id,Decomposition,Commenting,Instance Variables and Parameters and Constants,Naming and Spacing,Logic and Redundancy
16191,Perfect,Perfect,Perfect,Minor Issues,Perfect
16418,Minor Issues,Minor Issues,Perfect,Perfect,Perfect
16456,Minor Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
16615,Minor Issues,Perfect,Perfect,Minor Issues,Perfect
16642,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
16643,Minor Issues,Minor Issues,Perfect,Perfect,Perfect
16648,Perfect,Perfect,Minor Issues,Perfect,Perfect
16664,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
16673,Major Issues,Major Issues,Minor Issues,Perfect,Minor Issues
16680,Minor Issues,Perfect,Major Issues,Perfect,Minor Issues
16695,Perfect,Perfect,Minor Issues,Minor Issues,Minor Issues
16791,Perfect,Perfect,Minor Issues,Perfect,Perfect
16802,Minor Issues,Perfect,Perfect,Perfect,Perfect
16870,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
16930,Perfect,Minor Issues,Perfect,Perfect,Perfect
16940,Minor Issues,Perfect,Minor Issues,Perfect,Perfect
16952,Perfect,Perfect,Perfect,Minor Issues,Perfect
16961,Major Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
16979,Minor Issues,Minor Issues,Perfect,Minor Issues,Minor Issues
16980,Minor Issues,Perfect,Major Issues,Perfect,Horrible
16981,Minor Issues,Perfect,Minor Issues,Minor Issues,Perfect
16982,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
16983,Perfect,Minor Issues,Minor Issues,Minor Issues,Minor Issues
16984,Major Issues,Perfect,Perfect,Major Issues,Minor Issues
16993,Perfect,Perfect,Minor Issues,Perfect,Perfect
16994,Major Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
17002,Perfect,Perfect,Perfect,Minor Issues,Minor Issues
17003,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17004,Minor Issues,Major Issues,Major Issues,Minor Issues,Minor Issues
17005,Perfect,Perfect,Perfect,Minor Issues,Perfect
17006,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
17008,Minor Issues,Minor Issues,Perfect,Perfect,Major Issues
17009,Minor Issues,Major Issues,Major Issues,Perfect,Perfect
17010,Minor Issues,Perfect,Major Issues,Perfect,Minor Issues
17011,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
17012,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17013,Major Issues,Minor Issues,Major Issues,Major Issues,Minor Issues
17014,Perfect,Perfect,Minor Issues,Perfect,Minor Issues
17015,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
17017,Minor Issues,Minor Issues,Perfect,Perfect,Minor Issues
17018,Minor Issues,Minor Issues,Perfect,Perfect,Minor Issues
17019,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
17020,Minor Issues,Perfect,Perfect,Minor Issues,Minor Issues
17021,Minor Issues,Perfect,Major Issues,Perfect,Minor Issues
17022,Perfect,Perfect,Perfect,Perfect,Major Issues
17024,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Perfect
17025,Minor Issues,Major Issues,Minor Issues,Major Issues,Minor Issues
17026,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
17029,Perfect,Major Issues,Minor Issues,Minor Issues,Minor Issues
17030,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
17031,Perfect,Perfect,Perfect,Perfect,Perfect
17032,Minor Issues,Minor Issues,Perfect,Perfect,Perfect
17033,Minor Issues,Minor Issues,Perfect,Minor Issues,Minor Issues
17034,Minor Issues,Minor Issues,Major Issues,Minor Issues,Minor Issues
17035,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
17036,Minor Issues,Perfect,Minor Issues,Minor Issues,Perfect
17037,Minor Issues,Perfect,Perfect,Minor Issues,Perfect
17038,Minor Issues,Minor Issues,Perfect,Minor Issues,Perfect
17039,Perfect,Perfect,Perfect,Perfect,Minor Issues
17040,Perfect,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17041,Perfect,Perfect,Perfect,Perfect,Perfect
17042,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
