id,Decomposition,Commenting,Instance Variables and Parameters and Constants,Naming and Spacing,Logic and Redundancy
29914,Minor issues,Perfect,Perfect,Perfect,Minor issues
29916,Minor issues,Minor issues,Minor issues ,Perfect,Minor issues
29920,Perfect,Perfect,Minor issues ,Perfect,Perfect
29922,Minor issues,Perfect,Major issues,Perfect,Minor issues
29926,Perfect,Perfect,Perfect,Perfect,Minor issues
29970,Perfect,Minor issues,Perfect,Perfect,Minor issues
29971,Minor issues,Minor issues,Perfect,Minor issues,Minor issues
29987,Minor issues,Perfect,Perfect,Perfect,Perfect
29988,Perfect,Minor issues,Perfect,Perfect,Perfect
29990,Minor issues,Minor issues,Major issues,Perfect,Minor issues
29993,Minor issues,Minor issues,Perfect,Minor issues,Perfect
29994,Perfect,Perfect,Perfect,Perfect,Minor issues
29995,Perfect,Perfect,Minor issues ,Minor issues,Minor issues
29996,Minor issues,Minor issues,Major issues,Perfect,Perfect
30001,Minor issues,Minor issues,Minor issues ,Perfect,Minor issues
30032,Perfect,Perfect,Perfect,Minor issues,Minor issues
30045,Perfect,Perfect,Minor issues ,Perfect,Perfect
30046,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30052,Perfect,Minor issues,Minor issues ,Perfect,Minor issues
30067,Major issues,Perfect,Major issues,Minor issues,Minor issues
30069,Minor issues,Perfect,Perfect,Perfect,Perfect
30074,Perfect,Perfect,Perfect,Perfect,Perfect
30082,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
30104,Minor issues,Minor issues,Major issues,Minor issues,Major issues
30114,Minor issues,Minor issues,Perfect,Minor issues,Perfect
30204,Perfect,Perfect,Perfect,Minor issues,Perfect
30210,Major issues,Minor issues,Perfect,Perfect,Perfect
30242,Major issues,Perfect,Perfect,Perfect,Perfect
30280,Perfect,Minor issues,Major issues,Major issues,Minor issues
30335,Perfect,Perfect,Perfect,Perfect,Minor issues
30336,Minor issues,Perfect,Perfect,Perfect,Major issues
30414,Minor issues,Major issues,Minor issues ,Perfect,Perfect
30421,Perfect,Perfect,Perfect,Perfect,Perfect
30423,Perfect,Perfect,Minor issues ,Minor issues,Perfect
30434,Perfect,Perfect,Perfect,Minor issues,Minor issues
30453,Perfect,Minor issues,Perfect,Minor issues,Perfect
30467,Minor issues,Major issues,Minor issues ,Minor issues,Perfect
30469,Perfect,Minor issues,Perfect,Minor issues,Perfect
30471,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30473,Perfect,Perfect,Perfect,Perfect,Minor issues
30474,Perfect,Perfect,Minor issues ,Minor issues,Minor issues
30475,Perfect,Perfect,Minor issues ,Perfect,Minor issues
30476,Minor issues,Minor issues,Minor issues ,Minor issues,Minor issues
30477,Perfect,Perfect,Minor issues ,Perfect,Perfect
30478,Minor issues,Minor issues,Minor issues ,Perfect,Minor issues
30479,Minor issues,Perfect,Major issues,Perfect,Minor issues
30480,Perfect,Perfect,Minor issues ,Minor issues,Minor issues
30481,Major issues,Perfect,Perfect,Perfect,Minor issues
30482,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30483,Minor issues,Minor issues,Perfect,Minor issues,Minor issues
30484,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30486,Perfect,Perfect,Perfect,Perfect,Minor issues
30487,Perfect,Minor issues,Perfect,Perfect,Perfect
30488,Major issues,Major issues,Major issues,Minor issues,Minor issues
30489,Perfect,Perfect,Perfect,Perfect,Perfect
30491,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30492,Perfect,Minor issues,Minor issues ,Minor issues,Minor issues
30527,Minor issues,Perfect,Major issues,Perfect,Minor issues
30528,Perfect,Perfect,Minor issues ,Minor issues,Minor issues
30529,Minor issues,Minor issues,Perfect,Minor issues,Perfect
30530,Minor issues,Perfect,Minor issues ,Perfect,Perfect
30531,Perfect,Perfect,Perfect,Perfect,Minor issues
30532,Minor issues,Minor issues,Minor issues ,Perfect,Minor issues
30533,Perfect,Perfect,Major issues,Perfect,Perfect
30534,Perfect,Perfect,Minor issues ,Minor issues,Minor issues
30536,Perfect,Perfect,Perfect,Perfect,Minor issues
30537,Minor issues,Perfect,Perfect,Perfect,Major issues
30538,Minor issues,Perfect,Minor issues ,Perfect,Minor issues
30539,Minor issues,Minor issues,Major issues,Minor issues,Perfect
30540,Perfect,Minor issues,Perfect,Perfect,Minor issues
30542,Perfect,Minor issues,Minor issues ,Perfect,Perfect
30543,Minor issues,Perfect,Perfect,Perfect,Minor issues
30544,Minor issues,Perfect,Major issues,Minor issues,Minor issues
30545,Minor issues,Minor issues,Major issues,Minor issues,Minor issues
30546,Perfect,Perfect,Perfect,Perfect,Perfect
30547,Minor issues,Perfect,Minor issues ,Minor issues,Minor issues
30548,Major issues,Perfect,Perfect,Perfect,Minor issues
30559,Minor issues,Perfect,Minor issues ,Perfect,Perfect
